Property Name,Portfolio Manager ID,Property Type - Self-Selected,Gross Floor Area
Pharmacy Yard,35000527,Other - Public Services,1851
Northline Parks and Garage,35000524,Other - Public Services,50041
Oriole Yard,35000525,Other - Public Services,26759
North East District Salt Dome,35000522,Other - Public Services,9526
Northern Services Building,35000523,Other - Public Services,5769
Murray Yard,35000520,Other - Public Services,38760
Nashdene Yard,35000521,Other - Public Services,24176
302 Wilson Hts Blvd,35000566,Other - Public Services,1
4 Don Valley Parkway,35000567,Other - Public Services,1
23 Peele Ave,35000564,Other - Public Services,1
254 Ranee Ave,35000565,Other - Public Services,1
2077 Lake Shore Blvd W,35000562,Other - Public Services,1
2120 Lake Shore Blvd W,35000563,Other - Public Services,1
2000 Lake Shore,35000560,Other - Public Services,1
2002 Lake Shore Blvd W,35000561,Other - Public Services,1
80 Pottery Rd,35000574,Other - Public Services,1
833 Royal York,35000575,Other - Public Services,1
715 Bloor St E-Pole 133 Viewndr/,35000572,Other - Public Services,1
80 Grenoble Dr,35000573,Other - Public Services,1
558 Wilson Ave,35000570,Other - Public Services,1
590 Lake Shore Blvd E,35000571,Other - Public Services,1
402 Sewells Rd,35000568,Other - Public Services,1
4881 Yonge St,35000569,Other - Public Services,1
0 Gardiner Expressway,35000550,Other - Public Services,1
0 Wickman Rd-Near Fordhs,35000551,Other - Public Services,1
Warden Ave Storm PS,35000548,Other - Public Services,462
0 Don Valley Pkwy,35000549,Other - Public Services,1
North Queen St Storm Pumping Station,35000546,Other - Public Services,676
Roxborough Parkette,35000547,Other - Public Services,304
Islington Storm Pumping Station,35000544,Other - Public Services,450
Kenilworth Tank Storm Pumping Station,35000545,Other - Public Services,78
1605 King St. W,35000558,Other - Public Services,1
195 Glen Park Ave,35000559,Other - Public Services,1
1230 Eglinton Ave E,35000556,Other - Public Services,1
1585 Lake Shore Blvd W,35000557,Other - Public Services,1
1161 York Mills Rd,35000554,Other - Public Services,1
12 St. Dunstan Dr.,35000555,Other - Public Services,1
1 Simcoe St,35000552,Other - Public Services,1
100 St Lawrence St,35000553,Other - Public Services,1
13 Barberry Pl,35000598,Other - Public Services,1
155 Harbour Street De-Icing Pump,35000599,Other - Public Services,1
Scarborough Transfer Station,35000596,Other - Public Services,96595
Victoria Park Transfer Station,35000597,Other - Public Services,83959
Dufferin Transfer Station,35000594,Other - Public Services,120663
Ingram Drive Transfer Station,35000595,Other - Public Services,112268
Commissioners St Transfer Stn,35000592,Other - Public Services,76424
Disco Road Transfer Station,35000593,Other - Public Services,57049
4423 Eglinton Ave W,35000606,Other - Public Services,1
4445 Eglinton Ave W,35000607,Other - Public Services,1
4201 Eglinton Ave W,35000604,Other - Public Services,1
