Property Name,Portfolio Manager ID,Property Type - Self-Selected,Gross Floor Area
Seaton House,35000458,Other-Public Services,97995
Warden Woods Respite,35000459,Other-Public Services,7565
Robertson House,35000456,Other-Public Services,19795
Scarborough Village Residence,35000457,Other-Public Services,29870
Finch Yard,35000502,Other-Public Services,148198
Former PMMD Warehouse,35000503,Other-Public Services,22604
Ellesmere Yard,35000500,Other-Public Services,138069
Emery Parks Yard,35000501,Other-Public Services,18998
Eastern Ave Yard - Office,35000498,Other-Public Services,84701
Eglinton Flats Service Building,35000499,Other-Public Services,5705
Dufferin Maintenance Yard,35000496,Other-Public Services,31667
Eastern Ave Yard  - Equipment Shop,35000497,Other-Public Services,9698
Kipling Yard - Toronto Water,35000510,Other-Public Services,11001
Leslie Barns,35000511,Other-Public Services,279862
Kipling & Steeles,35000508,Other-Public Services,1
Kipling Yard - PF&R,35000509,Other-Public Services,27373
Joel Weeks Park - Storage Bldg,35000506,Other-Public Services,183
King St Yard,35000507,Other-Public Services,83485
Hamilton Street Yard,35000504,Other-Public Services,2756
Ingram Yard,35000505,Other-Public Services,23907
Brimley Parks Yard,35000486,Other-Public Services,2809
Caledonia Road Service Yard,35000487,Other-Public Services,1981
Birchmount Park Yard,35000484,Other-Public Services,15317
Booth Avenue Yard,35000485,Other-Public Services,236645
Bermondsey Yard - SWM,35000482,Other-Public Services,66155
Bermondsey Yard - Transportation,35000483,Other-Public Services,4618
Bering Yd - Storage (Bldg F),35000480,Other-Public Services,9881
Bering Yd - Warehouse (Bldg A),35000481,Other-Public Services,4596
Disco Yd Bldg C- Vehicle Maint,35000494,Other-Public Services,22959
Disco Yd Bldg D- North Garage,35000495,Other-Public Services,24445
Disco Yd Bldg A- Employee Bldg,35000492,Other-Public Services,7998
Disco Yd Bldg B- South Garage,35000493,Other-Public Services,28029
Danforth Carhouse & Garage,35000490,Other-Public Services,62834
Disco Blower Station,35000491,Other-Public Services,37975
Castlefield Yard,35000488,Other-Public Services,36447
Centennial Park Service Building,35000489,Other-Public Services,1023
Toryork Yard,35000534,Other-Public Services,26404
Train Storage Building,35000535,Other-Public Services,30849
Toronto Island Service Yard,35000533,Other-Public Services,34724
Russell Carhouse,35000530,Other-Public Services,232619
Sixth St Garage,35000531,Other-Public Services,6997
Property Operation Garage,35000528,Other-Public Services,12034
Rockcliffe Yard,35000529,Other-Public Services,14047
Bloor Islington Storm Pumping Station,35000542,Other-Public Services,355
Eglinton-Bellamy Storm Pumping Station,35000543,Other-Public Services,441
Yonge Street Yard,35000540,Other-Public Services,20247
Battery Park Storm Pumping Station,35000541,Other-Public Services,1
Whitlam Warehouse,35000538,Other-Public Services,24865
Winter Maintenance Depot,35000539,Other-Public Services,12152
Wellington Yard & Office,35000536,Other-Public Services,2164
Western Yard (Obico),35000537,Other-Public Services,1
Morningside Yard,35000518,Other-Public Services,14779
Mt. Dennis Bus Garage,35000519,Other-Public Services,710493
Merton Yard & Sprint Office,35000517,Other-Public Services,32044
Maintenance Yard #7,35000514,Other-Public Services,11862
Marylin Bell Park Water Equipment Shed,35000515,Other-Public Services,700
Leslie Yard,35000512,Other-Public Services,6135
Maintenance Yard #5,35000513,Other-Public Services,7524
Oriole Yard (PF&R),35000526,Other-Public Services,13046
Pharmacy Yard,35000527,Other-Public Services,1851
Northline Parks and Garage,35000524,Other-Public Services,50041
Oriole Yard,35000525,Other-Public Services,26759
North East District Salt Dome,35000522,Other-Public Services,9526
Northern Services Building,35000523,Other-Public Services,5769
Murray Yard,35000520,Other-Public Services,38760
Nashdene Yard,35000521,Other-Public Services,24176
302 Wilson Hts Blvd,35000566,Other-Public Services,1
4 Don Valley Parkway,35000567,Other-Public Services,1
23 Peele Ave,35000564,Other-Public Services,1
254 Ranee Ave,35000565,Other-Public Services,1
2077 Lake Shore Blvd W,35000562,Other-Public Services,1
2120 Lake Shore Blvd W,35000563,Other-Public Services,1
2000 Lake Shore,35000560,Other-Public Services,1
2002 Lake Shore Blvd W,35000561,Other-Public Services,1
80 Pottery Rd,35000574,Other-Public Services,1
833 Royal York,35000575,Other-Public Services,1
715 Bloor St E-Pole 133 Viewndr/,35000572,Other-Public Services,1
80 Grenoble Dr,35000573,Other-Public Services,1
558 Wilson Ave,35000570,Other-Public Services,1
590 Lake Shore Blvd E,35000571,Other-Public Services,1
402 Sewells Rd,35000568,Other-Public Services,1
4881 Yonge St,35000569,Other-Public Services,1
0 Gardiner Expressway,35000550,Other-Public Services,1
0 Wickman Rd-Near Fordhs,35000551,Other-Public Services,1
Warden Ave Storm PS,35000548,Other-Public Services,462
0 Don Valley Pkwy,35000549,Other-Public Services,1
North Queen St Storm Pumping Station,35000546,Other-Public Services,676
Roxborough Parkette,35000547,Other-Public Services,304
Islington Storm Pumping Station,35000544,Other-Public Services,450
Kenilworth Tank Storm Pumping Station,35000545,Other-Public Services,78
1605 King St. W,35000558,Other-Public Services,1
195 Glen Park Ave,35000559,Other-Public Services,1
1230 Eglinton Ave E,35000556,Other-Public Services,1
1585 Lake Shore Blvd W,35000557,Other-Public Services,1
1161 York Mills Rd,35000554,Other-Public Services,1
12 St. Dunstan Dr.,35000555,Other-Public Services,1
1 Simcoe St,35000552,Other-Public Services,1
100 St Lawrence St,35000553,Other-Public Services,1
13 Barberry Pl,35000598,Other-Public Services,1
155 Harbour Street De-Icing Pump,35000599,Other-Public Services,1
Scarborough Transfer Station,35000596,Other-Public Services,96595
Victoria Park Transfer Station,35000597,Other-Public Services,83959
Dufferin Transfer Station,35000594,Other-Public Services,120663
Ingram Drive Transfer Station,35000595,Other-Public Services,112268
Commissioners St Transfer Stn,35000592,Other-Public Services,76424
Disco Road Transfer Station,35000593,Other-Public Services,57049
4423 Eglinton Ave W,35000606,Other-Public Services,1
4445 Eglinton Ave W,35000607,Other-Public Services,1
4201 Eglinton Ave W,35000604,Other-Public Services,1
4421 Eglinton Ave W,35000605,Other-Public Services,1
3 Morningview Trail,35000602,Other-Public Services,1
3460 Midland Ave,35000603,Other-Public Services,1
23 Barberry Pl,35000600,Other-Public Services,1
290 Dean Park Rd,35000601,Other-Public Services,1
Street Lighting East York,35000582,Other-Public Services,1
Street Lighting Etobicoke,35000583,Other-Public Services,1
Sidney Belsey Cres,35000580,Other-Public Services,1
St James Town,35000581,Other-Public Services,1
Metro 27 Lighting,35000578,Other-Public Services,1
Nyctophilia,35000579,Other-Public Services,1
BlueGold Variation,35000576,Other-Public Services,1
Don Mills Rd.,35000577,Other-Public Services,1
Traffic Control Signals,35000590,Other-Public Services,1
Bermondsey Transfer Station,35000591,Other-Public Services,48976
Toronto Island Street Lighting,35000588,Other-Public Services,1
Advance Traffic Management,35000589,Other-Public Services,1
