Property Name,Portfolio Manager ID,Property Type - Self-Selected,Gross Floor Area,month,normalized_monthly_usage
Disco Yd Bldg D- North Garage,35000495,Other-Public Services,24445,2024-05-01,718.0
Disco Yd Bldg D- North Garage,35000495,Other-Public Services,24445,2024-06-01,264.58
Disco Yd Bldg D- North Garage,35000495,Other-Public Services,24445,2024-07-01,16.0
Disco Yd Bldg D- North Garage,35000495,Other-Public Services,24445,2024-08-01,18.86
Disco Yd Bldg D- North Garage,35000495,Other-Public Services,24445,2024-09-01,24.37
Disco Yd Bldg D- North Garage,35000495,Other-Public Services,24445,2024-10-01,2366.52
Disco Yd Bldg D- North Garage,35000495,Other-Public Services,24445,2024-11-01,2204.29
Disco Yd Bldg D- North Garage,35000495,Other-Public Services,24445,2024-12-01,6389.8
Disco Yd Bldg B- South Garage,35000493,Other-Public Services,28029,2024-01-01,27342.83
Disco Yd Bldg B- South Garage,35000493,Other-Public Services,28029,2024-02-01,17684.26
Disco Yd Bldg B- South Garage,35000493,Other-Public Services,28029,2024-03-01,12902.63
Disco Yd Bldg B- South Garage,35000493,Other-Public Services,28029,2024-04-01,8370.14
Disco Yd Bldg B- South Garage,35000493,Other-Public Services,28029,2024-05-01,1995.85
Disco Yd Bldg B- South Garage,35000493,Other-Public Services,28029,2024-06-01,793.88
Disco Yd Bldg B- South Garage,35000493,Other-Public Services,28029,2024-07-01,820.63
Disco Yd Bldg B- South Garage,35000493,Other-Public Services,28029,2024-08-01,746.68
Disco Yd Bldg B- South Garage,35000493,Other-Public Services,28029,2024-09-01,366.82
Disco Yd Bldg B- South Garage,35000493,Other-Public Services,28029,2024-10-01,12197.86
Disco Yd Bldg B- South Garage,35000493,Other-Public Services,28029,2024-11-01,23532.16
Disco Yd Bldg B- South Garage,35000493,Other-Public Services,28029,2024-12-01,38978.62
Danforth Carhouse & Garage,35000490,Other-Public Services,62834,2024-01-01,419.73
Danforth Carhouse & Garage,35000490,Other-Public Services,62834,2024-02-01,329.32
Danforth Carhouse & Garage,35000490,Other-Public Services,62834,2024-03-01,272.7
Danforth Carhouse & Garage,35000490,Other-Public Services,62834,2024-04-01,58.76
Danforth Carhouse & Garage,35000490,Other-Public Services,62834,2024-05-01,0.46
Danforth Carhouse & Garage,35000490,Other-Public Services,62834,2024-06-01,0.0
Danforth Carhouse & Garage,35000490,Other-Public Services,62834,2024-07-01,5.64
Danforth Carhouse & Garage,35000490,Other-Public Services,62834,2024-08-01,0.36
Danforth Carhouse & Garage,35000490,Other-Public Services,62834,2024-09-01,0.0
Danforth Carhouse & Garage,35000490,Other-Public Services,62834,2024-10-01,10.71
Danforth Carhouse & Garage,35000490,Other-Public Services,62834,2024-11-01,143.15
Danforth Carhouse & Garage,35000490,Other-Public Services,62834,2024-12-01,38.14
Castlefield Yard,35000488,Other-Public Services,36447,2024-01-01,8697.48
Castlefield Yard,35000488,Other-Public Services,36447,2024-02-01,5885.53
Castlefield Yard,35000488,Other-Public Services,36447,2024-03-01,4906.54
Castlefield Yard,35000488,Other-Public Services,36447,2024-04-01,2865.76
Castlefield Yard,35000488,Other-Public Services,36447,2024-05-01,297.98
Castlefield Yard,35000488,Other-Public Services,36447,2024-06-01,217.55
Castlefield Yard,35000488,Other-Public Services,36447,2024-07-01,236.58
Castlefield Yard,35000488,Other-Public Services,36447,2024-08-01,237.42
Castlefield Yard,35000488,Other-Public Services,36447,2024-09-01,227.37
Castlefield Yard,35000488,Other-Public Services,36447,2024-10-01,1808.03
Castlefield Yard,35000488,Other-Public Services,36447,2024-11-01,444.94
Castlefield Yard,35000488,Other-Public Services,36447,2024-12-01,5938.49
Centennial Park Service Building,35000489,Other-Public Services,1023,2024-01-01,1880.48
Centennial Park Service Building,35000489,Other-Public Services,1023,2024-02-01,1373.79
Centennial Park Service Building,35000489,Other-Public Services,1023,2024-03-01,2605.94
Centennial Park Service Building,35000489,Other-Public Services,1023,2024-04-01,2069.2
Centennial Park Service Building,35000489,Other-Public Services,1023,2024-05-01,240.8
Centennial Park Service Building,35000489,Other-Public Services,1023,2024-06-01,70.33
Centennial Park Service Building,35000489,Other-Public Services,1023,2024-07-01,64.04
Centennial Park Service Building,35000489,Other-Public Services,1023,2024-08-01,56.05
Centennial Park Service Building,35000489,Other-Public Services,1023,2024-09-01,160.1
Centennial Park Service Building,35000489,Other-Public Services,1023,2024-10-01,519.54
Centennial Park Service Building,35000489,Other-Public Services,1023,2024-11-01,1339.24
Centennial Park Service Building,35000489,Other-Public Services,1023,2024-12-01,1990.24
Toryork Yard,35000534,Other-Public Services,26404,2024-01-01,11271.41
Toryork Yard,35000534,Other-Public Services,26404,2024-02-01,9014.42
Toryork Yard,35000534,Other-Public Services,26404,2024-03-01,7713.75
Toryork Yard,35000534,Other-Public Services,26404,2024-04-01,6300.12
Toryork Yard,35000534,Other-Public Services,26404,2024-05-01,1753.68
Toryork Yard,35000534,Other-Public Services,26404,2024-06-01,1052.1
Toryork Yard,35000534,Other-Public Services,26404,2024-07-01,986.25
Toryork Yard,35000534,Other-Public Services,26404,2024-08-01,1293.98
Toryork Yard,35000534,Other-Public Services,26404,2024-09-01,666.45
